[2022-02-28 10:14:51,316] : Initialized Stem Player
[2022-02-28 10:15:00,264] : Exiting Stem Player
[2022-02-28 10:15:21,002] : Initialized Stem Player
[2022-02-28 10:15:24,402] : Exiting Stem Player
[2022-02-28 10:17:17,262] : Initialized Stem Player
[2022-02-28 10:17:19,656] : Exiting Stem Player
[2022-02-28 10:17:21,968] : Exiting Stem Player
[2022-02-28 10:17:22,541] : Exiting Stem Player
[2022-02-28 10:17:22,735] : Exiting Stem Player
[2022-02-28 10:17:22,937] : Exiting Stem Player
[2022-02-28 10:17:23,182] : Exiting Stem Player
[2022-02-28 10:18:09,959] : Initialized Stem Player
[2022-02-28 10:18:13,195] : Exiting Stem Player
[2022-02-28 10:18:28,510] : Initialized Stem Player
[2022-02-28 10:18:31,608] : Exiting Stem Player
[2022-02-28 10:18:37,693] : Initialized Stem Player
[2022-02-28 10:18:40,193] : Exiting Stem Player
[2022-02-28 10:20:38,678] : Initialized Stem Player
[2022-02-28 10:20:58,543] : Triggered sample allstarstems02.wav
[2022-02-28 10:21:36,679] : Stopped playback
[2022-02-28 10:21:36,892] : Stopped playback
[2022-02-28 10:21:38,870] : Exiting Stem Player
[2022-02-28 10:21:51,947] : Initialized Stem Player
[2022-02-28 10:21:57,363] : Exiting Stem Player
[2022-02-28 10:22:40,766] : Initialized Stem Player
[2022-02-28 10:22:50,540] : Triggered sample allstarstems03.wav
[2022-02-28 10:22:58,452] : Stopped playback
[2022-02-28 10:22:58,659] : Stopped playback
[2022-02-28 10:23:05,810] : Set My Universe instrumental_1.wav on melody channel
[2022-02-28 10:23:07,713] : Playing ./sounds/melody/My Universe instrumental_1.wav on melody channel with length 18431
[2022-02-28 10:23:25,999] : Playing ./sounds/melody/My Universe instrumental_1.wav on melody channel with length 18431
[2022-02-28 10:23:26,000] : Looping
[2022-02-28 10:23:30,577] : Playing ./sounds/melody/My Universe instrumental_1.wav on melody channel with length 18431
[2022-02-28 10:23:32,420] : Playing ./sounds/melody/My Universe instrumental_1.wav on melody channel with length 18431
[2022-02-28 10:23:33,775] : Exiting Stem Player
[2022-02-28 10:25:42,562] : Initialized Stem Player
[2022-02-28 10:25:48,587] : Exiting Stem Player
[2022-02-28 10:25:59,246] : Initialized Stem Player
[2022-02-28 10:32:53,931] : Initialized Stem Player
[2022-02-28 10:32:53,966] : This process is not trusted! Input event monitoring will not be possible until it is added to accessibility clients.
[2022-02-28 10:33:23,106] : Exiting Stem Player
[2022-02-28 10:33:26,427] : Initialized Stem Player
[2022-02-28 10:33:26,491] : This process is not trusted! Input event monitoring will not be possible until it is added to accessibility clients.
[2022-02-28 10:33:28,206] : Exiting Stem Player
[2022-02-28 10:35:51,194] : Initialized Stem Player
[2022-02-28 10:35:51,243] : This process is not trusted! Input event monitoring will not be possible until it is added to accessibility clients.
[2022-02-28 10:35:54,354] : Unhandled exception in listener callback
Traceback (most recent call last):
  File "/Users/sankaran/.miniconda3/envs/stemplayer/lib/python3.9/site-packages/pynput/_util/__init__.py", line 228, in inner
    return f(self, *args, **kwargs)
  File "/Users/sankaran/.miniconda3/envs/stemplayer/lib/python3.9/site-packages/pynput/_util/darwin.py", line 265, in _handler
    self._handle(proxy, event_type, event, refcon)
  File "/Users/sankaran/.miniconda3/envs/stemplayer/lib/python3.9/site-packages/pynput/keyboard/_darwin.py", line 273, in _handle
    self.on_release(key)
  File "/Users/sankaran/.miniconda3/envs/stemplayer/lib/python3.9/site-packages/pynput/_util/__init__.py", line 144, in inner
    if f(*args) is False:
  File "/Users/sankaran/OneDrive - University of Massachusetts/Code/stem-player/stem_player.py", line 201, in on_release
    if key_ == letters[i]:
IndexError: list index out of range
